Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
Medium,High,High,High,Yes,Adequate,High,Medium,No,Many,Low,Medium,Public,Positive,Medium,No,College,Near,Male,Pass
Medium,High,High,Low,No,Low,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
High,High,High,Medium,No,Adequate,High,Low,Yes,Few,Medium,Low,Private,Positive,Medium,No,High school,Moderate,Male,Pass
High,Medium,Low,Medium,Yes,Adequate,Medium,Low,No,Many,Low,Medium,Public,Positive,Medium,No,College,Moderate,Female,Pass
Medium,Medium,Low,Medium,Yes,Low,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Female,Pass
High,Medium,High,High,Yes,High,High,Medium,Yes,Many,Medium,High,Public,Neutral,Medium,Yes,High school,Near,Male,Pass
High,Medium,High,Medium,Yes,Low,High,Medium,Yes,Few,Medium,Medium,Private,Positive,Medium,No,High school,Near,Male,Pass
High,Medium,High,Medium,Yes,High,Medium,Low,Yes,Few,Medium,Medium,Public,Negative,Low,No,College,Near,Female,Pass
Medium,High,Low,Medium,No,High,Medium,Low,Yes,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Female,Pass
Medium,Medium,High,High,Yes,Low,Medium,High,Yes,Few,High,Medium,Public,Positive,Low,No,Postgraduate,Near,Female,Pass
Medium,High,Low,Low,Yes,Low,Low,Medium,Yes,Few,Low,Medium,Public,Negative,Medium,No,College,Near,Male,Pass
Low,Medium,Medium,Medium,No,Low,Medium,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Near,Male,Pass
High,High,High,Medium,No,Adequate,Low,Medium,Yes,Few,High,Medium,Private,Negative,Medium,No,College,Moderate,Female,Pass
High,High,High,Low,No,Adequate,Medium,Low,Yes,Few,Medium,Low,Public,Negative,Low,No,High school,Moderate,Female,Pass
Medium,High,Medium,Low,Yes,Low,Low,Low,Yes,Few,Medium,Low,Public,Neutral,Medium,No,High school,Far,Female,Pass
High,High,Medium,High,Yes,Low,High,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,Medium,Yes,High,Medium,Medium,Yes,Few,High,Medium,Private,Neutral,Medium,No,College,Moderate,Male,Pass
Medium,High,Medium,High,Yes,Low,Medium,High,Yes,Few,High,Medium,Public,Negative,Medium,No,High school,Moderate,Female,Pass
High,Medium,High,Low,Yes,Adequate,Low,Low,Yes,Few,High,Medium,Public,Negative,Medium,No,High school,Far,Male,Fail
High,Medium,High,Medium,No,Adequate,Low,Low,Yes,Few,Low,Medium,Private,Negative,Medium,No,Postgraduate,Near,Male,Excellent
High,High,Low,High,No,Low,High,Low,Yes,Few,Low,High,Public,Neutral,Medium,No,High school,Moderate,Female,Pass
High,Medium,Medium,Low,Yes,Low,Low,Medium,Yes,Many,Medium,Low,Public,Positive,Low,Yes,High school,Near,Male,Pass
High,High,High,Medium,Yes,Low,High,Low,Yes,Many,High,Medium,Public,Negative,Medium,No,Postgraduate,Moderate,Male,Pass
Medium,Medium,Medium,High,No,Adequate,Low,Low,Yes,Few,Medium,Medium,Public,Negative,Low,Yes,Postgraduate,Near,Female,Pass
High,Medium,Low,Low,Yes,Low,Medium,Low,Yes,Few,Low,Medium,Public,Positive,Low,No,High school,Moderate,Female,Pass
Medium,Medium,Medium,High,No,High,High,Low,Yes,Few,High,Medium,Public,Negative,Medium,No,Postgraduate,Moderate,Male,Fail
High,High,Medium,High,No,Low,High,Medium,Yes,Many,Medium,High,Public,Positive,Medium,No,High school,Near,Male,Pass
High,High,Low,Medium,No,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Private,Positive,Low,No,High school,Near,Female,Pass
Medium,Medium,Medium,Medium,No,Low,High,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,High school,Near,Female,Pass
Medium,Medium,High,High,Yes,Low,High,Low,Yes,Few,Low,High,Private,Negative,Low,No,High school,Near,Female,Pass
Medium,High,Medium,High,No,Low,Medium,Medium,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,Low,Medium,Yes,Low,High,High,Yes,Many,Medium,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
High,High,Medium,Medium,Yes,Adequate,High,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Moderate,Female,Fail
Low,Medium,Medium,Medium,Yes,Adequate,Low,High,Yes,Few,Low,High,Public,Positive,Medium,No,College,Near,Female,Pass
High,High,Low,Medium,Yes,Low,High,Medium,Yes,Few,Medium,Medium,Private,Positive,Medium,Yes,College,Moderate,Female,Excellent
Medium,Medium,High,Medium,Yes,High,Low,Low,Yes,Few,Medium,Medium,Public,Negative,Medium,Yes,College,Moderate,Male,Pass
Medium,Medium,High,High,Yes,High,Medium,Low,Yes,Few,High,Medium,Public,Positive,Medium,No,Postgraduate,Far,Male,Pass
Medium,High,Medium,Medium,Yes,Adequate,Medium,Low,No,Few,High,Medium,Private,Positive,Medium,Yes,High school,Moderate,Male,Pass
Low,Medium,High,Medium,No,High,High,Medium,Yes,Many,Low,High,Public,Negative,Medium,No,High school,Near,Female,Pass
High,High,Medium,Medium,Yes,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Low,Yes,High school,Moderate,Female,Pass
Medium,Medium,Medium,Low,Yes,Adequate,Medium,High,Yes,Few,Medium,Medium,Public,Neutral,Medium,Yes,Postgraduate,Near,Male,Pass
Medium,High,Medium,Medium,Yes,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,College,Far,Male,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,Low,Medium,Yes,Few,Low,High,Public,Negative,Low,No,College,Moderate,Male,Pass
Medium,Medium,Medium,Medium,No,Low,Low,Medium,Yes,Few,Medium,Medium,Private,Positive,Medium,No,College,Moderate,Male,Pass
High,High,Medium,Medium,No,High,High,Low,Yes,Many,Medium,Low,Public,Positive,Medium,No,High school,Near,Female,Pass
Medium,Medium,Medium,Medium,Yes,Low,High,Low,Yes,Few,Medium,High,Public,Negative,Low,Yes,Postgraduate,Near,Female,Excellent
Medium,High,Medium,Medium,Yes,Low,Medium,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,College,Moderate,Male,Pass
Medium,Medium,High,High,No,Low,Low,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,High,Medium,High,Yes,Low,Medium,Low,Yes,Many,Medium,Low,Public,Neutral,Low,No,High school,Near,Female,Fail
Low,Medium,Medium,High,Yes,Adequate,Medium,Medium,Yes,Few,Medium,High,Public,Negative,Medium,No,High school,Far,Male,Fail
Medium,High,Medium,Medium,No,Adequate,High,Medium,Yes,Few,Low,Medium,Private,Neutral,Low,No,High school,Near,Male,Pass
Medium,High,Medium,Medium,No,Low,Low,Medium,Yes,Few,Low,Medium,Private,Neutral,Medium,No,Postgraduate,Moderate,Female,Pass
High,Medium,Medium,Medium,Yes,High,Medium,Low,Yes,Few,Medium,Medium,Public,Neutral,Medium,Yes,High school,Moderate,Female,Pass
Medium,Medium,Low,High,Yes,Adequate,Medium,Low,Yes,Few,Low,Low,Private,Negative,Medium,No,High school,Near,Female,Excellent
High,Medium,Medium,Medium,No,Adequate,High,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,College,Near,Male,Pass
Medium,High,Medium,High,Yes,Low,Low,Low,Yes,Few,High,Medium,Public,Negative,Medium,No,Postgraduate,Moderate,Male,Fail
Medium,Medium,Medium,Medium,No,Adequate,Low,Medium,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,High,Low,Yes,High,High,Medium,Yes,Few,Low,Medium,Private,Positive,Low,No,High school,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,High,Medium,Low,Yes,Few,Medium,Medium,Private,Positive,Medium,No,High school,Moderate,Female,Pass
Medium,Medium,High,High,Yes,Low,High,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,Postgraduate,Moderate,Male,Pass
Medium,High,High,Low,No,Adequate,High,Medium,Yes,Many,Low,High,Private,Negative,Medium,No,High school,Near,Female,Pass
High,High,High,Medium,No,Low,Medium,Low,Yes,Many,High,High,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,High,High,No,Adequate,Medium,Low,Yes,Many,High,Medium,Private,Negative,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,Medium,Medium,Yes,High,Medium,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Pass
Medium,High,Medium,Low,No,Low,High,Low,Yes,Few,Low,Low,Private,Neutral,Medium,No,Postgraduate,Near,Male,Pass
Medium,Medium,Low,Low,No,Low,High,High,Yes,Few,Medium,Medium,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Pass
Medium,Medium,High,Medium,Yes,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Positive,Low,No,High school,Moderate,Male,Pass
Medium,High,Medium,Low,No,Low,Medium,Medium,Yes,Few,Low,High,Public,Positive,Low,No,College,Near,Male,Pass
High,High,Medium,High,No,Low,Medium,Low,Yes,Few,Low,High,Public,Neutral,Low,No,Postgraduate,Near,Male,Pass
Medium,High,Medium,Medium,No,Low,Medium,Low,Yes,Few,High,Medium,Public,Neutral,Medium,No,Postgraduate,Far,Male,Pass
High,Medium,Medium,High,No,Low,High,Low,Yes,Few,High,Medium,Public,Positive,Medium,No,High school,Near,Female,Pass
Low,Medium,Medium,Low,No,High,High,Low,No,Few,Medium,High,Private,Negative,Medium,No,High school,Moderate,Female,Fail
High,Medium,Medium,Medium,No,High,Medium,Medium,Yes,Many,High,Medium,Private,Positive,Medium,No,High school,Far,Male,Pass
High,High,High,High,Yes,High,Medium,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Far,Male,Fail
Low,High,High,Low,No,Adequate,High,High,Yes,Few,Medium,Medium,Public,Neutral,Low,No,High school,Near,Female,Pass
Medium,High,High,High,Yes,Adequate,Medium,High,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,High,High,No,Low,Medium,Medium,Yes,Few,Medium,Medium,Private,Positive,Low,No,Postgraduate,Far,Female,Pass
Medium,Medium,Low,Low,No,High,Medium,Low,Yes,Few,Low,Low,Private,Positive,Medium,Yes,High school,Moderate,Female,Fail
Medium,Medium,High,Medium,No,Adequate,Medium,Low,Yes,Few,Low,Low,Public,Positive,Medium,No,College,Near,Male,Pass
Medium,Medium,Medium,Medium,No,Low,Low,Medium,Yes,Few,Medium,High,Private,Positive,Low,No,Postgraduate,Near,Female,Excellent
Medium,Medium,High,High,Yes,Low,Low,Low,Yes,Few,Medium,High,Private,Positive,Medium,No,High school,Near,Female,Pass
High,Medium,Low,Medium,Yes,Low,Low,High,Yes,Few,Low,Medium,Private,Neutral,Medium,No,High school,Moderate,Female,Pass
High,Medium,Medium,Medium,Yes,Low,Medium,Medium,Yes,Many,Medium,High,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
High,High,High,Low,Yes,Adequate,Low,Medium,Yes,Few,Low,High,Public,Negative,Low,No,College,Moderate,Male,Pass
Medium,High,Medium,Medium,No,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Pass
Medium,Medium,Medium,Medium,Yes,Low,Low,Low,Yes,Many,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Low,Yes,Adequate,Medium,Medium,Yes,Few,Medium,High,Private,Positive,Medium,No,High school,Moderate,Female,Pass
Medium,Medium,Medium,High,Yes,Low,Medium,High,Yes,Few,Medium,High,Public,Negative,Low,No,High school,Moderate,Male,Pass
High,High,High,Medium,Yes,Low,High,Low,Yes,Few,High,High,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,Low,No,High,Medium,Low,Yes,Few,Low,Medium,Private,Negative,Medium,No,College,Near,Female,Pass
Medium,High,Medium,Medium,No,Low,Low,Medium,Yes,Few,Medium,Medium,Public,Negative,Medium,No,High school,Moderate,Female,Pass
High,High,Low,High,Yes,Low,Medium,Medium,Yes,Few,Low,High,Public,Positive,Low,No,Postgraduate,Near,Female,Pass
High,Medium,Low,Low,No,Adequate,High,Medium,Yes,Many,Low,Medium,Public,Negative,Medium,No,Postgraduate,Near,Female,Pass
Medium,Medium,Medium,Low,Yes,Low,Medium,High,Yes,Few,Low,High,Public,Neutral,Low,No,High school,Near,Male,Pass
High,Medium,Medium,Low,No,Low,Medium,Low,Yes,Few,Medium,Medium,Private,Negative,Low,No,College,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,Low,High,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,High school,Moderate,Female,Pass
High,High,Medium,Medium,No,Adequate,Medium,Medium,Yes,Many,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
High,Medium,Medium,Medium,Yes,High,High,Medium,Yes,Many,Medium,High,Private,Neutral,Medium,No,High school,Near,Female,Pass
Medium,Medium,High,Medium,No,Adequate,High,Medium,Yes,Few,Low,Medium,Private,Neutral,Medium,No,High school,Moderate,Male,Pass
High,Medium,High,Medium,Yes,Low,High,High,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,High,High,Yes,Low,Medium,Medium,No,Few,High,Medium,Public,Positive,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Medium,Yes,Adequate,Medium,Medium,Yes,Few,High,High,Public,Positive,Low,No,College,Near,Male,Pass
Medium,High,Medium,High,Yes,Adequate,High,Low,Yes,Few,Low,High,Public,Positive,Medium,No,High school,Moderate,Female,Pass
Medium,High,Low,Medium,No,High,Medium,Low,Yes,Few,Low,High,Public,Neutral,Medium,Yes,High school,Near,Female,Pass
High,Medium,Medium,High,Yes,High,Medium,Medium,Yes,Few,Low,Medium,Private,Positive,Medium,No,High school,Near,Female,Pass
Medium,Medium,High,Medium,No,Adequate,Low,High,No,Few,Low,Medium,Public,Positive,High,No,College,Moderate,Male,Pass
Medium,High,Medium,Medium,No,Adequate,Medium,Medium,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,High,Yes,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Far,Male,Pass
High,High,Medium,Low,Yes,Low,Medium,Medium,No,Many,Low,Medium,Public,Positive,Low,No,High school,Moderate,Male,Pass
Medium,Medium,Medium,Medium,No,Adequate,Medium,Low,Yes,Many,Medium,Medium,Public,Negative,Medium,No,High school,Near,Male,Pass
Medium,Medium,Low,High,Yes,High,Medium,Low,Yes,Many,Medium,Medium,Public,Negative,Low,No,College,Moderate,Male,Fail
Low,High,Medium,High,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Public,Positive,Low,Yes,High school,Near,Male,Pass
High,High,Medium,Medium,No,Adequate,Medium,Low,Yes,Few,Medium,Medium,Public,Negative,Medium,No,College,Near,Male,Pass
High,High,Medium,Low,Yes,Adequate,Medium,High,Yes,Few,Low,High,Public,Neutral,Low,No,High school,Far,Male,Pass
Medium,High,Medium,Medium,Yes,Low,High,Medium,Yes,Few,Medium,High,Private,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,High,High,Yes,Adequate,High,Medium,Yes,Few,High,High,Private,Negative,Low,No,High school,Moderate,Male,Pass
High,High,Low,Medium,No,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,High,Low,Yes,Low,High,Low,Yes,Few,Low,Low,Private,Negative,Medium,No,High school,Moderate,Female,Pass
High,Medium,Medium,Low,No,Low,Medium,Medium,No,Few,Medium,High,Public,Negative,Medium,Yes,College,Near,Male,Pass
High,Medium,Medium,Medium,Yes,Adequate,Medium,Medium,Yes,Few,High,Medium,Public,Neutral,Medium,No,High school,Near,Female,Pass
High,High,High,Medium,Yes,Low,High,Low,Yes,Few,High,Medium,Public,Negative,Medium,No,High school,Far,Male,Fail
Medium,Medium,Low,Medium,No,Adequate,Low,Low,No,Few,Low,Medium,Public,Positive,Medium,No,High school,Near,Female,Fail
Medium,High,Low,Medium,Yes,High,High,Medium,Yes,Many,Low,Medium,Public,Positive,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Low,Yes,Adequate,Medium,Medium,Yes,Many,High,Medium,Private,Positive,Low,No,High school,Near,Female,Pass
Low,High,Medium,Low,Yes,Low,High,Low,Yes,Few,Low,Medium,Public,Neutral,Low,No,College,Near,Male,Pass
Medium,High,Low,Medium,No,High,Medium,High,Yes,Few,Low,Medium,Private,Positive,Low,No,College,Moderate,Female,Pass
High,Medium,High,Low,Yes,Adequate,Low,High,Yes,Few,Medium,Medium,Public,Neutral,Medium,Yes,High school,Near,Male,Pass
High,Medium,Medium,Medium,No,Low,High,Medium,Yes,Many,Medium,High,Public,Neutral,Medium,No,College,Near,Male,Pass
Medium,Medium,Medium,High,Yes,Adequate,High,Medium,Yes,Few,High,Medium,Public,Negative,Medium,No,College,Far,Female,Pass
Medium,High,Medium,Medium,Yes,High,High,Low,Yes,Few,Medium,Medium,Private,Positive,Medium,No,High school,Moderate,Male,Fail
High,High,Medium,Medium,Yes,Low,Medium,High,Yes,Few,Medium,High,Public,Positive,Medium,No,College,Near,Female,Pass
Medium,High,Low,High,No,Low,Medium,Low,Yes,Few,Low,Low,Private,Positive,Medium,Yes,College,Near,Male,Pass
Medium,High,Low,Medium,No,Adequate,High,Low,Yes,Few,High,Medium,Public,Positive,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,High,No,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Private,Negative,Low,No,Postgraduate,Far,Female,Pass
Medium,Medium,High,Medium,Yes,Low,Low,Medium,Yes,Many,Medium,High,Public,Positive,Medium,No,Postgraduate,Far,Male,Pass
High,High,Medium,Medium,Yes,Low,Low,High,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Moderate,Male,Pass
Low,High,Medium,Medium,No,Low,High,Medium,Yes,Few,Medium,Medium,Private,Negative,Medium,No,College,Near,Female,Pass
High,Medium,Medium,Medium,No,Low,Medium,Low,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Far,Female,Pass
High,High,Medium,Medium,No,High,High,High,Yes,Few,Low,Medium,Public,Negative,Medium,No,Postgraduate,Moderate,Female,Pass
High,High,Medium,Medium,Yes,Adequate,Medium,Medium,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Near,Male,Pass
High,High,Low,High,No,Low,Medium,Medium,No,Many,High,High,Public,Positive,Low,No,High school,Near,Male,Pass
High,High,High,Medium,Yes,High,High,Medium,Yes,Few,Medium,High,Private,Neutral,Medium,Yes,High school,Near,Male,Pass
High,High,Medium,Low,Yes,High,Medium,Low,Yes,Few,High,Low,Public,Neutral,High,No,Postgraduate,Moderate,Male,Pass
Low,Medium,Medium,Medium,No,High,Medium,Low,Yes,Few,Medium,Low,Public,Neutral,Low,No,High school,Near,Female,Fail
Medium,High,Medium,High,No,Low,Medium,Low,Yes,Few,Medium,High,Public,Neutral,Medium,No,College,Near,Male,Pass
Medium,High,High,Medium,Yes,Adequate,Medium,Medium,Yes,Many,High,High,Private,Positive,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,Low,No,Adequate,High,High,Yes,Few,Medium,Medium,Public,Negative,Medium,No,High school,Near,Male,Pass
High,High,Low,Low,Yes,High,Medium,Low,Yes,Few,Low,Low,Public,Negative,Medium,No,High school,Near,Female,Excellent
Medium,High,High,High,Yes,Low,Medium,Low,Yes,Many,High,Medium,Public,Negative,Medium,No,College,Moderate,Female,Pass
High,High,Medium,Low,No,Low,Low,Medium,Yes,Few,Low,High,Private,Negative,Low,No,College,Near,Female,Pass
Medium,Medium,Low,High,Yes,Adequate,High,Medium,Yes,Few,Low,High,Public,Positive,Medium,No,College,Far,Male,Pass
Medium,Medium,Low,Medium,Yes,High,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Low,No,College,Moderate,Female,Pass
Medium,High,High,High,Yes,Adequate,High,High,Yes,Few,Low,Medium,Public,Neutral,Medium,No,College,Far,Female,Pass
Medium,Medium,High,Medium,Yes,Adequate,Low,Low,Yes,Many,Medium,Medium,Private,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,Medium,High,High,Yes,Adequate,Medium,Low,Yes,Few,Medium,Low,Private,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,High,High,No,High,Low,Low,Yes,Few,Medium,Low,Public,Positive,Low,Yes,High school,Near,Male,Pass
High,Medium,Medium,Low,Yes,Low,Medium,Medium,Yes,Few,High,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,Medium,Low,Yes,Low,Medium,Low,No,Many,Low,Low,Private,Neutral,Medium,No,High school,Far,Female,Fail
Medium,Medium,Medium,Medium,No,Low,High,Medium,Yes,Few,Low,Medium,Private,Neutral,Low,No,College,Near,Male,Pass
High,Medium,High,Low,No,Low,High,Low,Yes,Few,High,Low,Private,Positive,Medium,No,High school,Near,Male,Fail
High,Medium,Medium,Medium,No,Adequate,High,Medium,Yes,Few,Medium,High,Private,Positive,Low,No,College,Moderate,Female,Pass
Medium,Medium,High,High,Yes,High,Medium,Medium,Yes,Few,Medium,High,Public,Neutral,Low,No,Postgraduate,Far,Female,Excellent
High,High,Low,Medium,Yes,Adequate,Medium,Medium,Yes,Few,Medium,High,Public,Positive,Low,No,Postgraduate,Moderate,Female,Excellent
Medium,High,High,Medium,No,Low,Low,Medium,Yes,Few,Low,Medium,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Pass
High,Medium,Medium,Medium,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Public,Negative,Medium,No,College,Near,Male,Pass
Medium,Medium,High,Medium,Yes,Adequate,High,High,Yes,Few,Medium,Medium,Public,Positive,Low,No,High school,Moderate,Male,Pass
Medium,Medium,Low,Low,No,Adequate,High,Low,Yes,Many,Low,Low,Public,Positive,Medium,No,College,Near,Male,Pass
High,Medium,Low,Medium,Yes,Low,High,Medium,Yes,Few,High,High,Private,Neutral,Medium,No,High school,Moderate,Male,Pass
Medium,Medium,Low,High,No,Low,High,Low,Yes,Few,Low,Medium,Public,Negative,Low,No,High school,Near,Male,Fail
Medium,High,Medium,High,No,High,Medium,Low,Yes,Few,Low,Low,Public,Negative,Medium,Yes,High school,Near,Male,Pass
Medium,High,Medium,High,No,Adequate,Medium,Low,Yes,Many,Low,Medium,Public,Negative,Medium,No,High school,Far,Male,Pass
Medium,High,High,High,No,Adequate,High,Medium,Yes,Many,Low,High,Private,Neutral,Medium,No,College,Near,Male,Pass
